Place_Id,Place_Name,Category,Rating,Content
1,Monumen Nasional,Budaya,4.6,monumen nasional populer singkat monas tugu monas monumen ingat setinggi 132 meter 433 kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen mulai tanggal 17 agustus 1961 bawah perintah presiden soekarno buka umum tanggal 12 juli 1975 tugu mahkota lidah api lapis lembar emas melambang semangat juang nyala monumen nasional letak tepat tengah lapang medan merdeka jakarta pusat budaya
2,Kota Tua,Budaya,4.6,kota tua jakarta nama kota tua pusat alun fatahillah alun ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik sedang museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki lima pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno budaya
3,Dunia Fantasi,Taman Hiburan,4.6,dunia fantasi sebut dufan tempat hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal 29 agustus 1985 taman hibur
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,4.5,taman mini indonesia indah rupa suatu kawasan taman wisata tema budaya indonesia jakarta timur area luas kurang lebih 150 hektare 1 5 kilometer persegi letak koordinat 6 18 6 8 ls 106 53 47 2 bt taman hibur
5,Atlantis Water Adventure,Taman Hiburan,4.5,atlantis water adventure kenal atlantis ancol suguh tualang wisata air tak lupa tempat wisata tema main air luas 5 hektar beri sensasi tualang 8 kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis jadi pilih destinasi pas wisata renang taman hibur
6,Taman Impian Jaya Ancol,Taman Hiburan,4.5,taman impi jaya ancol rupa buah objek wisata jakarta utara n n taman hibur
7,Kebun Binatang Ragunan,Cagar Alam,4.5,kebun binatang ragunan buah kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas 140 hektare diri tahun 1864 bagai koleksi diri 295 spesies 4040 spesimen nragunan sempat tutup lama tiga minggu sejak 19 september 2005 hewan infeksi flu burung buka 11 oktober 2005 kebun binatang milik banyak spesies hewan langka kakatua orangutan gorila anoa gajah cagar alam
8,Ocean Ecopark,Taman Hiburan,4.0,ocean ecopark salah satu zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main tempat rekreasi keluarga beberapa outbondholic rumah energy rumah lebah kano paintball outbondholic eco market learning farm eco bike faunaland kalau rencana wisata ocean eco park ancol perlu khawatir harga tiket masuk harga tiket masuk ocean eco park tawar harga jangkau taman hibur
9,Pelabuhan Marina,Bahari,4.4,labuh marina ancol kawasan taman impi jaya ancol jakarta labuh biasa sebut dermaga marina ancol kawasan perlu seberang kembang banyak wisata air olahraga air maupun wahana main fungsi utama labuh untuk layan tumpang seberang tuju pulau ribu balik banyak orang jakarta jadi kepulaun ribu bagai tuju wisata utama libur pulau ribu memang mampu hilang penat kerja kota metropolitan sembari nikmat indah pantai jaga baik marina ancol jakarta utara cara lengkap alamat kota tua ancol pademangan kota jakarta sangat mudah tuju tempat tidak terlalu jauh pusat kota ada banyak transportasi umum tuju tempat juga jasa transportasi online bahari
10,Pulau Tidung,Bahari,4.5,pulau tidung salah satu lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia bahari
