User_Id,Place_Id,Place_Name,Place_Ratings
1,179,Candi Ratu Boko,3
1,344,Pantai Marina,2
1,5,Atlantis Water Adventure,5
1,373,Museum Kereta Ambarawa,3
1,101,Kampung Wisata Sosro Menduran,4
1,312,Taman Hutan Raya Ir. H. Juanda,2
1,258,Museum Gedung Sate,5
1,20,Museum Taman Prasasti,4
1,154,Pantai Ngrawe (Mesra),2
1,393,Taman Harmoni Keputih,5
1,103,Tugu Pal Putih Jogja,3
1,208,Taman Sungai Mudal,5
1,89,De Mata Museum Jogja,3
1,405,Surabaya North Quay,5
1,41,Museum Bahari Jakarta,5
1,336,Grand Maerakaca,4
1,67,Margasatwa Muara Angke,4
1,292,Curug Anom,3
1,222,Museum Konferensi Asia Afrika,3
1,76,Taman Cattleya,2
1,428,Monumen Bambu Runcing Surabaya,3
1,15,Pasar Seni,3
1,246,Curug Tilu Leuwi Opat,4
1,265,Museum Mandala Wangsit Siliwangi,5
1,21,Museum Wayang,2
1,328,Gua Pawon,2
1,307,Perkebunan Teh Malabar,4
1,302,Masjid Pusdai,2
1,48,Taman Ismail Marzuki,2
1,328,Gua Pawon,2
2,147,Bentara Budaya Yogyakarta (BBY),2
2,2,Kota Tua,5
2,322,Bukit Jamur,4
2,23,Gereja Katedral,3
2,85,Taman Pintar Yogyakarta,4
2,371,Wisata Eling Bening,3
2,78,Hutan Kota Srengseng,5
2,111,Puncak Pinus Becici,2
2,107,Bangsal Pagelaran,2
2,185,Pantai Krakal,2
2,413,Museum TNI AL Loka Jala Crana,3
2,389,Brown Canyon,2
2,437,Gereja Perawan Maria Tak Berdosa Surabaya,5
2,105,Candi Donotirto,2
2,176,Museum Gunung Merapi,3
2,407,Taman Ekspresi Dan Perpustakaan,5
2,208,Taman Sungai Mudal,5
2,437,Gereja Perawan Maria Tak Berdosa Surabaya,4
2,208,Taman Sungai Mudal,3
2,281,Tektona Waterpark,2
2,167,Geoforest Watu Payung Turunan,2
2,384,Kampung Tematik Jawi,5
2,426,Balai Kota Surabaya,4
2,390,Durian Gardens and Tourism Education Watu Simbar,2
2,367,Wisata Lereng Kelir,2
2,166,Kebun Teh Nglinggo,2
2,18,Museum Bank Indonesia,5
2,321,Glamping Lakeside Rancabali,3
2,262,Wot Batu,3
3,223,Masjid Raya Bandung,5
3,17,Museum Fatahillah,5
3,319,Kawah Rengganis Cibuni,5
3,310,Taman Bunga Cihideung,3
3,421,Museum Kesehatan Dr. Adhyatma,3
3,202,Pantai Ngandong,5
3,48,Taman Ismail Marzuki,2
3,283,Jembatan Pasupati,3
3,202,Pantai Ngandong,3
3,250,Pesona Nirwana Waterpark & Cottages,2
3,118,Museum Sonobudoyo Unit I,2
3,54,Taman Agrowisata Cilangkap,2
3,70,Perpustakaan Nasional,3
3,33,Taman Suropati,4
3,227,Alun-Alun Kota Bandung,2
3,86,Keraton Yogyakarta,4
3,105,Candi Donotirto,5
3,249,Upside Down World Bandung,3
3,131,Watu Lumbung,4
3,382,Kampoeng Kopi Banaran,2
3,193,Candi Sewu,2
3,176,Museum Gunung Merapi,2
3,104,Tebing Breksi,3
3,24,Museum Nasional,4
3,128,Gumuk Pasir Parangkusumo,5
3,134,Desa Wisata Gamplong,3
3,228,Museum Sri Baduga,3
3,237,Panghegar Waterboom Bandung,3
3,100,Taman Budaya Yogyakarta,4
3,198,Pantai Greweng,5
4,50,Museum Joang 45,2
4,376,Semarang Chinatown,2
4,268,Sudut Pandang Bandung,4
4,242,Curug Dago,4
4,82,Museum Satria Mandala,3
4,348,Pura Giri Natha,5
4,409,Rumah Batik,3
4,88,Museum Benteng Vredeburg Yogyakarta,3
